human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.5674,0.7633,0.9176,0.9176,0.3254,0.8466,0.9997,0.9981
0.7015,0.5674,0.7603,0.9063,0.9065,0.3279,0.8488,0.9998,0.9973
0.7015,0.5674,0.7602,0.9233,0.9233,0.3277,0.848,0.9997,0.9981
0.7015,0.5674,0.7633,0.9326,0.9329,0.3359,0.8474,0.9998,0.9982
0.7015,0.5674,0.77,0.9362,0.9363,0.3275,0.843,0.9997,0.9972
0.7015,0.5674,0.7553,0.9217,0.9218,0.3291,0.845,0.9998,0.9982
0.7015,0.5674,0.763,0.9229,0.9231,0.3251,0.8432,0.9997,0.998
0.7015,0.5674,0.7593,0.9275,0.9277,0.3315,0.8434,0.9996,0.9986
0.7015,0.5674,0.7671,0.9317,0.9318,0.3315,0.8499,0.9997,0.9979
0.7015,0.5674,0.7633,0.9163,0.9163,0.3241,0.8478,0.9996,0.9987
