human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7793,0.9167,0.9171,0.8335,0.9572,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9172,0.8334,0.9549,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8334,0.9552,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8335,0.9582,0.9997,0.9964
0.7007,0.5674,0.7793,0.9167,0.9172,0.8333,0.9602,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9172,0.8334,0.9563,0.9997,0.9963
0.7007,0.5674,0.7794,0.9167,0.9171,0.8334,0.9577,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9172,0.8334,0.9559,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9172,0.8335,0.9574,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9172,0.8334,0.9595,0.9997,0.9964
