human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7583,0.8813,0.8813,0.9561,0.8553,0.994,0.9399
0.7051,0.5674,0.7523,0.8986,0.8989,0.9535,0.8553,0.9907,0.9244
0.7051,0.5674,0.7597,0.8917,0.8915,0.956,0.8528,0.994,0.9198
0.7051,0.5674,0.7508,0.8886,0.8879,0.9547,0.8478,0.993,0.9285
0.7051,0.5674,0.7585,0.9027,0.9037,0.9552,0.8551,0.9939,0.9146
0.7051,0.5674,0.76,0.8894,0.8917,0.9529,0.8496,0.9907,0.9281
0.7051,0.5674,0.7524,0.8994,0.9005,0.952,0.8476,0.9941,0.9101
0.7051,0.5674,0.7596,0.8984,0.8991,0.9543,0.8584,0.9947,0.9362
0.7051,0.5674,0.7641,0.8992,0.9012,0.9534,0.8525,0.9943,0.926
0.7051,0.5674,0.7606,0.896,0.8959,0.9553,0.8605,0.9929,0.9241
