human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8323,0.922,0.9244,0.968,0.9049,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9097,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9032,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9053,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9101,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9107,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9106,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9098,0.9982,0.9678
0.8026,0.5674,0.8325,0.9221,0.9245,0.968,0.912,0.9982,0.9679
0.8026,0.5674,0.8323,0.922,0.9244,0.9679,0.9076,0.9982,0.9679
