human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8136,0.8948,0.8964,0.952,0.8395,0.991,0.9159
0.796,0.5674,0.7659,0.8973,0.8982,0.9505,0.8383,0.9898,0.9171
0.796,0.5674,0.8145,0.889,0.8922,0.951,0.8355,0.9915,0.9091
0.796,0.5674,0.7913,0.8946,0.8974,0.9492,0.8357,0.989,0.9199
0.796,0.5674,0.7845,0.8927,0.8947,0.9497,0.837,0.9895,0.9201
0.796,0.5674,0.8121,0.8909,0.8927,0.9491,0.8426,0.9893,0.9274
0.796,0.5674,0.7323,0.8836,0.8796,0.9469,0.8339,0.9899,0.9186
0.796,0.5674,0.8205,0.9009,0.9047,0.949,0.8352,0.9923,0.914
0.796,0.5674,0.8231,0.9011,0.9034,0.9483,0.839,0.9893,0.9223
0.796,0.5674,0.8157,0.8983,0.902,0.9497,0.8423,0.9906,0.9198
