human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8347,0.9372,0.9377,0.495,0.9384,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9376,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9389,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9353,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.937,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9407,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9361,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9371,0.9995,0.9968
0.8021,0.5674,0.8348,0.9374,0.9379,0.4949,0.9418,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4948,0.9338,0.9995,0.9968
