human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.9389,0.9629,0.9802,0.9802,0.5586,0.958,0.9999,0.9999
0.7015,0.9389,0.963,0.9802,0.9802,0.5585,0.956,0.9999,0.9999
0.7015,0.9389,0.963,0.9802,0.9802,0.5585,0.958,0.9999,0.9999
0.7015,0.9389,0.963,0.9802,0.9802,0.5585,0.9631,0.9999,0.9999
0.7015,0.9389,0.9629,0.9802,0.9802,0.5586,0.9588,0.9999,0.9999
0.7015,0.9389,0.963,0.9802,0.9802,0.5585,0.9603,0.9999,0.9999
0.7015,0.9389,0.963,0.9802,0.9802,0.5585,0.9596,0.9999,0.9999
0.7015,0.9389,0.963,0.9802,0.9802,0.5585,0.9577,0.9999,0.9999
0.7015,0.9389,0.963,0.9802,0.9802,0.5585,0.9633,0.9999,0.9999
0.7015,0.9389,0.9629,0.9803,0.9803,0.5585,0.9582,0.9999,0.9999
