human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.9389,0.9619,0.9808,0.9808,0.8405,0.9865,1.0,0.998
0.7007,0.9389,0.9643,0.9807,0.9807,0.8462,0.9875,1.0,0.9978
0.7007,0.9389,0.9629,0.9825,0.9826,0.8539,0.9852,1.0,0.9983
0.7007,0.9389,0.9607,0.9816,0.9817,0.8403,0.9846,1.0,0.9972
0.7007,0.9389,0.962,0.9829,0.983,0.8455,0.9868,1.0,0.9984
0.7007,0.9389,0.9628,0.9815,0.9815,0.8597,0.9852,1.0,0.9984
0.7007,0.9389,0.9597,0.9803,0.9803,0.8436,0.9861,1.0,0.9983
0.7007,0.9389,0.9611,0.9826,0.9827,0.8447,0.9847,1.0,0.9983
0.7007,0.9389,0.9636,0.9841,0.9841,0.8491,0.9847,1.0,0.9984
0.7007,0.9389,0.9636,0.9816,0.9817,0.8482,0.983,1.0,0.9983
