human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.9389,0.9633,0.9777,0.9783,0.9852,0.9775,0.9986,0.9844
0.7051,0.9389,0.9604,0.9813,0.9812,0.9856,0.974,0.9987,0.9852
0.7051,0.9389,0.9621,0.9793,0.98,0.9852,0.9738,0.9984,0.9839
0.7051,0.9389,0.9619,0.9813,0.9814,0.9842,0.977,0.9992,0.9855
0.7051,0.9389,0.9605,0.9793,0.9787,0.9838,0.9761,0.9986,0.9847
0.7051,0.9389,0.9605,0.9807,0.9801,0.9866,0.9769,0.9981,0.9814
0.7051,0.9389,0.9592,0.9751,0.9746,0.9859,0.9769,0.9983,0.982
0.7051,0.9389,0.9633,0.9793,0.9802,0.9842,0.9763,0.9987,0.9847
0.7051,0.9389,0.9594,0.9805,0.9806,0.9855,0.975,0.9975,0.983
0.7051,0.9389,0.9582,0.9804,0.981,0.9844,0.9755,0.9982,0.9859
