human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9864,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9864,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9858,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9857,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9861,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.986,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9887,0.985,0.9991,0.9949
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9851,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9874,0.9991,0.9948
0.8026,0.9389,0.9721,0.983,0.983,0.9888,0.9845,0.9991,0.9948
