human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.9389,0.9695,0.979,0.9794,0.9943,0.976,0.9968,0.9891
0.796,0.9389,0.9701,0.9806,0.9809,0.9943,0.9785,0.9981,0.9903
0.796,0.9389,0.9671,0.9805,0.9806,0.9944,0.9783,0.998,0.9911
0.796,0.9389,0.9698,0.98,0.9802,0.9947,0.9777,0.9981,0.9922
0.796,0.9389,0.9661,0.9792,0.9788,0.9942,0.978,0.9982,0.9906
0.796,0.9389,0.97,0.9795,0.9797,0.9948,0.9767,0.9981,0.9914
0.796,0.9389,0.9662,0.9786,0.9784,0.9944,0.9786,0.9982,0.9917
0.796,0.9389,0.9605,0.9785,0.9775,0.9939,0.9754,0.9975,0.9891
0.796,0.9389,0.9693,0.979,0.9797,0.9948,0.9775,0.998,0.991
0.796,0.9389,0.9648,0.979,0.9784,0.9956,0.9764,0.9982,0.9911
