human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.9389,0.9694,0.9827,0.9826,0.4914,0.9389,1.0,0.9984
0.8021,0.9389,0.9713,0.9844,0.9844,0.4908,0.941,1.0,0.999
0.8021,0.9389,0.9654,0.9816,0.9816,0.4567,0.9424,1.0,0.9983
0.8021,0.9389,0.9674,0.9824,0.9823,0.4701,0.9414,1.0,0.9982
0.8021,0.9389,0.9713,0.9837,0.9837,0.4898,0.9475,1.0,0.9985
0.8021,0.9389,0.9706,0.9831,0.983,0.4961,0.9425,1.0,0.9984
0.8021,0.9389,0.9671,0.9822,0.9822,0.4774,0.945,1.0,0.9988
0.8021,0.9389,0.9704,0.983,0.983,0.4713,0.9403,1.0,0.9988
0.8021,0.9389,0.9549,0.9847,0.9847,0.4865,0.943,1.0,0.9983
0.8021,0.9389,0.9676,0.9834,0.9834,0.487,0.9433,1.0,0.9987
